Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Derrick Henry *,TEN,28,RB,15,15,319,1429,13,64,56,4.5,95.3,6
Josh Jacobs*,LVR,24,RB,15,15,306,1539,11,86,86,5.0,102.6,3
Saquon Barkley*,NYG,25,RB,15,15,283,1254,10,60,68,4.4,83.6,1
Nick Chubb*,CLE,27,RB,15,15,276,1344,12,61,41,4.9,89.6,1
Dalvin Cook,MIN,27,RB,15,15,244,1109,8,47,81,4.5,73.9,3
Miles Sanders*,PHI,25,RB,15,13,236,1175,11,58,40,5.0,78.3,2
Najee Harris,PIT,24,RB,15,15,227,843,6,36,36,3.7,56.2,2
Jamaal Williams,DET,27,RB,15,7,224,850,14,55,51,3.8,56.7,3
Dameon Pierce,HOU,22,RB,13,13,220,939,4,54,75,4.3,72.2,4
Christian McCaffrey,2TM,26,RB,15,14,215,973,7,50,49,4.5,64.9,1
Ezekiel Elliott,DAL,27,RB,13,12,204,829,11,48,27,4.1,63.8,0
Travis Etienne,JAX,23,RB,15,10,204,1000,4,49,49,4.9,66.7,5
Joe Mixon,CIN,26,RB,13,13,199,787,6,45,40,4.0,60.5,0
Rhamondre Stevenson,NWE,24,RB,15,6,196,944,5,47,49,4.8,62.9,3
Jonathan Taylor,IND,23,RB,11,11,192,861,4,39,66,4.5,78.3,3
David Montgomery,CHI,25,RB,14,14,188,756,5,40,28,4.0,54.0,2
Aaron Jones,GNB,28,RB,15,15,187,962,2,47,36,5.1,64.1,4
Tony Pollard*,DAL,25,RB,15,4,186,988,9,46,57,5.3,65.9,0
Alvin Kamara,NOR,27,RB,13,11,184,717,2,32,27,3.9,55.2,4
Austin Ekeler,LAC,27,RB,15,15,183,759,11,39,71,4.1,50.6,4
Brian Robinson Jr.,WAS,23,RB,11,9,181,710,2,45,24,3.9,64.5,2
Leonard Fournette,TAM,27,RB,14,9,179,640,3,38,23,3.6,45.7,0
D'Onta Foreman,CAR,26,RB,15,7,178,811,5,39,60,4.6,54.1,1
Kenneth Walker III,SEA,22,RB,13,9,176,803,9,40,74,4.6,61.8,0
Devin Singletary,BUF,25,RB,15,15,170,790,5,40,33,4.6,52.7,2
James Conner,ARI,27,RB,12,12,167,703,7,44,23,4.2,58.6,3
Tyler Allgeier,ATL,22,RB,14,6,166,817,2,40,44,4.9,58.4,0
AJ Dillon,GNB,24,RB,15,3,165,696,6,41,27,4.2,46.4,1
Raheem Mostert,MIA,30,RB,14,12,161,791,3,39,67,4.9,56.5,1
Jalen Hurts*,PHI,24,QB,14,14,156,747,13,64,42,4.8,53.4,9
Isiah Pacheco,KAN,22,RB,15,9,153,735,3,32,28,4.8,49.0,4
Justin Fields,CHI,23,QB,14,14,150,1011,8,62,67,6.7,72.2,15
Antonio Gibson,WAS,24,RB,15,6,149,546,3,32,20,3.7,36.4,1
Cam Akers,LAR,23,RB,13,7,148,559,7,33,21,3.8,43.0,2
Jeff Wilson,2TM,27,RB,14,7,145,743,5,36,41,5.1,53.1,3
Latavius Murray,2TM,32,RB,11,5,144,601,5,35,52,4.2,54.6,0
Cordarrelle Patterson,ATL,31,RB,11,10,130,635,6,34,40,4.9,57.7,1
Kareem Hunt,CLE,27,RB,15,0,117,455,3,30,24,3.9,30.3,1
Josh Allen*,BUF,26,QB,15,15,115,746,7,52,44,6.5,49.7,13
Khalil Herbert,CHI,24,RB,11,1,114,650,4,23,63,5.7,59.1,0
Rachaad White,TAM,23,RB,15,6,114,444,1,25,35,3.9,29.6,3
Lamar Jackson,BAL,25,QB,12,12,112,764,3,47,79,6.8,63.7,5
Michael Carter,NYJ,23,RB,14,9,110,396,3,13,25,3.6,28.3,2
James Robinson,2TM,24,RB,11,5,110,425,3,22,50,3.9,38.6,1
Daniel Jones,NYG,25,QB,15,15,109,617,5,49,24,5.7,41.1,6
Kenyan Drake,BAL,28,RB,11,5,93,422,3,19,40,4.5,38.4,1
Melvin Gordon,DEN,29,RB,10,6,90,318,2,15,17,3.5,31.8,5
Samaje Perine,CIN,27,RB,15,2,89,376,2,19,29,4.2,25.1,0
Marcus Mariota,ATL,29,QB,13,13,85,438,4,30,30,5.2,33.7,8
Damien Harris,NWE,25,RB,9,8,84,383,3,19,30,4.6,42.6,0
D'Andre Swift,DET,23,RB,12,8,82,439,4,16,50,5.4,36.6,1
James Cook,BUF,23,RB,15,0,80,462,2,21,33,5.8,30.8,1
Gus Edwards,BAL,27,RB,7,3,80,415,3,29,37,5.2,59.3,1
Breece Hall,NYJ,21,RB,7,2,80,463,4,20,62,5.8,66.1,1
Taysom Hill,NOR,32,TE,14,8,77,505,6,29,60,6.6,36.1,2
Caleb Huntley,ATL,24,RB,12,0,76,366,1,18,30,4.8,30.5,1
J.K. Dobbins,BAL,24,RB,7,7,75,427,2,22,44,5.7,61.0,0
Joe Burrow*,CIN,26,QB,15,15,72,247,5,27,23,3.4,16.5,5
Clyde Edwards-Helaire,KAN,23,RB,10,6,71,302,3,15,52,4.3,30.2,0
Chuba Hubbard,CAR,23,RB,13,2,71,385,2,20,35,5.4,29.6,1
Darrell Henderson,LAR,25,RB,10,7,70,283,3,14,23,4.0,28.3,0
Jerick McKinnon,KAN,30,RB,15,0,68,281,1,11,30,4.1,18.7,1
Kyler Murray,ARI,25,QB,11,11,67,418,3,23,42,6.2,38.0,8
Zonovan Knight,NYJ,21,RB,5,4,65,251,1,12,48,3.9,50.2,1
Mark Ingram,NOR,33,RB,10,3,62,233,1,12,14,3.8,23.3,2
